make,model,year,damage,severity,cost
Toyota,Camry,2017,bumper,minor,4626.0
BMW,X5,2005,broken_glass,severe,17394.0
BMW,X5,2014,broken_glass,minor,9806.0
Ford,Fusion,2020,broken_glass,minor,8135.0
Honda,Accord,2008,scratch,severe,18244.0
Honda,Accord,2018,broken_glass,severe,13804.0
Ford,Focus,2015,scratch,minor,4314.0
Toyota,Corolla,2013,broken_glass,moderate,14554.5
BMW,320i,2022,bumper,moderate,9088.5
Toyota,Corolla,2012,bumper,minor,4582.0
Toyota,Camry,2014,broken_glass,moderate,5785.5
Toyota,Corolla,2018,scratch,minor,6680.0
Ford,Focus,2018,scratch,moderate,9516.0
Honda,Civic,2022,broken_glass,moderate,12456.0
Toyota,Camry,2010,dent,moderate,14347.5
Honda,Accord,2008,bumper,moderate,14056.5
Honda,Civic,2013,dent,moderate,13860.0
Ford,Fusion,2021,scratch,minor,9963.0
Ford,Focus,2009,dent,minor,5634.0
BMW,320i,2007,scratch,moderate,9205.5
Toyota,Corolla,2022,broken_glass,moderate,8886.0
Toyota,Corolla,2009,dent,moderate,11005.5
Toyota,Camry,2022,dent,moderate,7372.5
Ford,Focus,2021,broken_glass,moderate,5347.5
Honda,Accord,2014,bumper,severe,15632.0
Ford,Fusion,2012,bumper,minor,3538.0
BMW,320i,2020,scratch,minor,8872.0
Honda,Civic,2018,bumper,minor,6492.0
Toyota,Camry,2005,bumper,minor,8096.0
Toyota,Camry,2016,dent,severe,6066.0
BMW,320i,2007,dent,severe,6158.0
Toyota,Camry,2015,scratch,minor,3808.0
Toyota,Camry,2005,bumper,severe,15154.0
Ford,Fusion,2008,dent,moderate,7165.5
Honda,Accord,2008,broken_glass,minor,9310.0
Ford,Fusion,2022,dent,minor,4866.0
Ford,Fusion,2014,dent,minor,5389.0
Toyota,Camry,2013,scratch,severe,10214.0
Toyota,Camry,2008,broken_glass,moderate,10890.0
BMW,X5,2009,broken_glass,severe,17836.0
Honda,Accord,2019,dent,minor,7696.0
Toyota,Corolla,2007,dent,moderate,11395.5
Ford,Fusion,2006,scratch,severe,11178.0
BMW,320i,2017,scratch,severe,12864.0
Ford,Fusion,2016,scratch,moderate,5044.5
Toyota,Camry,2007,scratch,moderate,11907.0
Toyota,Camry,2008,bumper,moderate,9192.0
BMW,320i,2005,scratch,severe,16064.0
Toyota,Corolla,2020,scratch,minor,3148.0
Ford,Focus,2017,scratch,moderate,11062.5
Honda,Civic,2011,broken_glass,minor,7096.0
Honda,Civic,2015,dent,minor,9625.0
Toyota,Corolla,2014,bumper,moderate,10180.5
Ford,Fusion,2019,scratch,minor,6424.0
BMW,X5,2016,dent,severe,16112.0
BMW,X5,2021,broken_glass,severe,17798.0
BMW,320i,2008,dent,minor,3194.0
Toyota,Corolla,2010,dent,moderate,6133.5
BMW,320i,2015,dent,severe,16530.0
BMW,320i,2019,dent,moderate,5905.5
BMW,X5,2016,bumper,severe,17506.0
Toyota,Corolla,2008,broken_glass,severe,12180.0
Ford,Fusion,2010,bumper,severe,14128.0
BMW,320i,2017,scratch,minor,9175.0
Toyota,Corolla,2010,dent,minor,5888.0
Toyota,Corolla,2005,dent,moderate,13147.5
BMW,320i,2018,broken_glass,moderate,6279.0
Honda,Civic,2007,scratch,minor,3966.0
Ford,Focus,2022,broken_glass,severe,14576.0
BMW,320i,2017,dent,moderate,8485.5
Toyota,Corolla,2020,scratch,severe,18668.0
BMW,X5,2006,scratch,severe,14316.0
Honda,Accord,2010,scratch,severe,11562.0
Honda,Civic,2008,bumper,severe,8164.0
Honda,Accord,2014,scratch,minor,7827.0
Ford,Fusion,2010,dent,severe,12722.0
BMW,320i,2021,bumper,moderate,11026.5
Toyota,Camry,2008,broken_glass,minor,5466.0
Toyota,Camry,2019,scratch,severe,11312.0
Honda,Accord,2019,bumper,moderate,11472.0
Honda,Accord,2014,broken_glass,moderate,13555.5
Ford,Focus,2017,dent,moderate,12862.5
Ford,Focus,2019,bumper,moderate,14473.5
Toyota,Camry,2012,scratch,minor,4041.0
Honda,Accord,2008,broken_glass,minor,4329.0
BMW,X5,2019,bumper,minor,9833.0
Ford,Focus,2014,bumper,severe,9340.0
Honda,Accord,2018,dent,moderate,10153.5
Ford,Focus,2015,broken_glass,moderate,5064.0
Ford,Fusion,2007,bumper,minor,8193.0
Ford,Fusion,2022,scratch,moderate,8601.0
Ford,Fusion,2014,broken_glass,minor,6716.0
Toyota,Corolla,2006,broken_glass,minor,6106.0
Ford,Fusion,2017,broken_glass,severe,10982.0
Toyota,Camry,2021,broken_glass,moderate,14958.0
Ford,Fusion,2017,bumper,severe,12558.0
Ford,Fusion,2021,broken_glass,moderate,12147.0
BMW,320i,2008,scratch,severe,18180.0
Toyota,Camry,2017,bumper,minor,9801.0
Toyota,Camry,2007,scratch,moderate,7020.0
Honda,Civic,2016,broken_glass,severe,10466.0
BMW,320i,2010,dent,minor,5848.0
Ford,Focus,2018,broken_glass,moderate,6877.5
Toyota,Camry,2014,broken_glass,minor,4349.0
Toyota,Corolla,2005,broken_glass,severe,19214.0
Honda,Accord,2022,scratch,minor,9377.0
Honda,Civic,2014,scratch,minor,3563.0
Honda,Accord,2019,bumper,severe,12630.0
BMW,320i,2009,dent,severe,13308.0
Toyota,Camry,2005,dent,minor,6810.0
Ford,Focus,2016,bumper,minor,3010.0
Ford,Focus,2015,scratch,minor,6680.0
Toyota,Corolla,2017,scratch,minor,3310.0
Ford,Focus,2009,broken_glass,minor,3429.0
Toyota,Corolla,2008,bumper,minor,5198.0
BMW,320i,2009,dent,minor,5014.0
Ford,Fusion,2014,dent,minor,5825.0
Toyota,Camry,2007,broken_glass,severe,6680.0
Toyota,Camry,2017,dent,minor,7863.0
Toyota,Corolla,2022,bumper,moderate,9948.0
BMW,X5,2009,scratch,severe,14152.0
Honda,Civic,2018,dent,moderate,12858.0
BMW,X5,2006,broken_glass,moderate,9219.0
BMW,X5,2011,dent,minor,6105.0
Honda,Civic,2007,dent,minor,7862.0
Honda,Accord,2008,broken_glass,severe,13604.0
Honda,Accord,2006,bumper,moderate,4843.5
BMW,X5,2015,dent,moderate,14074.5
Honda,Civic,2016,broken_glass,minor,3140.0
Ford,Focus,2007,bumper,severe,11838.0
Honda,Civic,2018,bumper,moderate,5275.5
Toyota,Camry,2017,broken_glass,minor,6218.0
Toyota,Camry,2012,bumper,moderate,9819.0
Honda,Accord,2014,scratch,severe,17180.0
Honda,Accord,2020,bumper,moderate,11416.5
Honda,Civic,2010,broken_glass,severe,12526.0
BMW,X5,2020,bumper,minor,8533.0
Ford,Focus,2005,bumper,moderate,5848.5
Toyota,Camry,2005,scratch,severe,11282.0
Honda,Civic,2019,bumper,minor,9755.0
Honda,Civic,2009,scratch,moderate,11586.0
Ford,Focus,2009,dent,severe,17218.0
BMW,320i,2009,broken_glass,minor,5116.0
Toyota,Camry,2022,scratch,severe,6916.0
Honda,Accord,2007,bumper,severe,15434.0
Honda,Accord,2019,bumper,severe,18258.0
Honda,Accord,2010,bumper,moderate,10927.5
Ford,Focus,2010,scratch,minor,8580.0
Honda,Civic,2018,scratch,moderate,11155.5
Honda,Accord,2008,scratch,severe,16580.0
Honda,Accord,2006,bumper,severe,12102.0
BMW,X5,2017,dent,moderate,5815.5
Ford,Fusion,2015,scratch,moderate,11904.0
Honda,Civic,2017,bumper,moderate,5226.0
Ford,Fusion,2008,broken_glass,minor,9018.0
Honda,Civic,2019,bumper,moderate,7909.5
Ford,Focus,2007,dent,moderate,7879.5
BMW,320i,2015,broken_glass,severe,11212.0
Toyota,Corolla,2015,broken_glass,moderate,13650.0
Toyota,Corolla,2006,bumper,minor,9178.0
Ford,Fusion,2016,dent,moderate,6073.5
Honda,Civic,2017,broken_glass,severe,11702.0
BMW,X5,2009,scratch,moderate,13705.5
Ford,Fusion,2012,scratch,minor,7250.0
Toyota,Camry,2005,dent,minor,3034.0
Honda,Civic,2019,scratch,minor,8721.0
Honda,Accord,2019,broken_glass,minor,5314.0
Honda,Civic,2014,dent,moderate,13149.0
Ford,Fusion,2015,scratch,minor,3133.0
BMW,320i,2006,bumper,minor,4222.0
Ford,Focus,2005,dent,minor,5998.0
BMW,X5,2005,scratch,moderate,7167.0
Honda,Civic,2017,bumper,minor,4423.0
Ford,Focus,2020,scratch,severe,9736.0
BMW,320i,2007,scratch,minor,4822.0
Ford,Fusion,2006,scratch,severe,15610.0
BMW,X5,2022,broken_glass,severe,6128.0
Toyota,Corolla,2009,broken_glass,severe,15870.0
Toyota,Corolla,2012,bumper,moderate,12232.5
Toyota,Camry,2008,broken_glass,moderate,9220.5
Toyota,Camry,2010,dent,minor,6261.0
Honda,Civic,2005,scratch,severe,18012.0
Ford,Fusion,2019,dent,severe,18210.0
Honda,Civic,2017,bumper,severe,6052.0
Toyota,Camry,2011,dent,moderate,7701.0
Toyota,Camry,2012,broken_glass,severe,19552.0
Honda,Accord,2011,dent,severe,15402.0
Honda,Civic,2016,broken_glass,severe,15770.0
Toyota,Corolla,2018,bumper,moderate,8557.5
Honda,Civic,2019,dent,moderate,8790.0
Ford,Focus,2010,dent,severe,18606.0
Honda,Accord,2005,broken_glass,severe,12292.0
BMW,320i,2012,dent,severe,8846.0
Toyota,Corolla,2012,broken_glass,minor,8490.0
BMW,320i,2012,scratch,moderate,13974.0
Honda,Accord,2020,scratch,minor,9138.0
Toyota,Camry,2012,scratch,severe,18072.0
Toyota,Corolla,2018,scratch,moderate,7648.5
BMW,320i,2021,scratch,minor,9396.0
Toyota,Camry,2016,broken_glass,severe,16900.0
Toyota,Camry,2019,dent,minor,4917.0
Toyota,Camry,2010,bumper,severe,16102.0
Honda,Civic,2022,bumper,minor,4635.0
Honda,Accord,2013,broken_glass,moderate,5217.0
Toyota,Corolla,2014,scratch,moderate,14539.5
Honda,Accord,2012,dent,minor,3497.0
Ford,Focus,2017,dent,minor,7774.0
Toyota,Corolla,2020,broken_glass,minor,8937.0
Toyota,Camry,2009,dent,severe,6990.0
Ford,Focus,2015,scratch,severe,7102.0
Ford,Focus,2022,scratch,minor,7755.0
Toyota,Camry,2008,scratch,moderate,7537.5
Toyota,Corolla,2022,broken_glass,minor,6316.0
Honda,Civic,2008,scratch,minor,8198.0
BMW,320i,2005,broken_glass,moderate,12864.0
Honda,Accord,2008,dent,minor,9452.0
Ford,Fusion,2007,scratch,moderate,13929.0
Ford,Fusion,2019,broken_glass,moderate,11962.5
Ford,Focus,2011,broken_glass,moderate,11206.5
Toyota,Camry,2005,broken_glass,severe,6652.0
Toyota,Corolla,2020,bumper,moderate,11694.0
Toyota,Corolla,2009,bumper,minor,3718.0
Ford,Focus,2018,scratch,severe,16734.0
BMW,X5,2005,scratch,minor,4234.0
Ford,Fusion,2015,dent,severe,10984.0
Honda,Civic,2018,scratch,severe,9462.0
Honda,Civic,2011,scratch,moderate,9519.0
Toyota,Corolla,2012,bumper,severe,17600.0
Ford,Focus,2012,bumper,severe,7752.0
Toyota,Camry,2019,scratch,minor,6620.0
Honda,Civic,2017,scratch,moderate,6178.5
Ford,Fusion,2021,scratch,moderate,10275.0
BMW,320i,2010,bumper,severe,10378.0
Ford,Fusion,2007,bumper,minor,8099.0
Toyota,Camry,2009,dent,severe,10036.0
Toyota,Camry,2021,dent,minor,9997.0
Toyota,Corolla,2012,dent,severe,13092.0
BMW,X5,2016,dent,minor,8155.0
Ford,Focus,2019,dent,moderate,12801.0
Toyota,Camry,2014,bumper,severe,9622.0
Honda,Accord,2007,bumper,severe,12424.0
BMW,320i,2016,broken_glass,minor,4235.0
Honda,Civic,2010,scratch,severe,14824.0
Toyota,Camry,2008,scratch,moderate,6720.0
Toyota,Camry,2017,broken_glass,moderate,8967.0
Toyota,Camry,2019,broken_glass,severe,14196.0
Ford,Fusion,2021,bumper,minor,6001.0
Ford,Focus,2006,broken_glass,severe,15766.0
BMW,X5,2005,bumper,minor,4157.0
Ford,Fusion,2019,scratch,severe,14666.0
Honda,Accord,2016,bumper,severe,14036.0
Honda,Civic,2010,scratch,minor,8352.0
BMW,X5,2010,scratch,moderate,13999.5
BMW,320i,2012,dent,minor,4045.0
Ford,Focus,2018,dent,severe,17286.0
BMW,320i,2021,bumper,severe,8612.0
Toyota,Camry,2006,scratch,minor,7529.0
Toyota,Camry,2021,dent,minor,7058.0
BMW,320i,2006,bumper,severe,18752.0
Honda,Civic,2018,bumper,moderate,4705.5
BMW,320i,2021,dent,minor,3052.0
Ford,Fusion,2019,scratch,moderate,5832.0
BMW,X5,2007,scratch,moderate,10047.0
Toyota,Corolla,2019,dent,severe,19594.0
Honda,Accord,2013,bumper,minor,4297.0
BMW,320i,2014,bumper,moderate,12448.5
Honda,Accord,2022,scratch,minor,5526.0
Toyota,Corolla,2011,broken_glass,severe,16740.0
Honda,Civic,2006,scratch,severe,11374.0
Ford,Focus,2022,scratch,moderate,5260.5
BMW,X5,2011,scratch,severe,11742.0
Ford,Fusion,2009,bumper,severe,13182.0
BMW,X5,2019,scratch,moderate,4629.0
Ford,Focus,2019,bumper,moderate,13086.0
Honda,Civic,2018,scratch,minor,5363.0
Ford,Focus,2018,broken_glass,minor,8266.0
Honda,Accord,2020,dent,moderate,13972.5
BMW,320i,2010,scratch,severe,15354.0
Toyota,Corolla,2009,bumper,moderate,9237.0
Honda,Accord,2007,scratch,minor,6185.0
Honda,Civic,2021,bumper,severe,11112.0
Ford,Focus,2007,scratch,minor,7077.0
Ford,Fusion,2021,scratch,severe,12920.0
Toyota,Corolla,2019,dent,minor,6877.0
Ford,Fusion,2015,dent,minor,8790.0
Ford,Focus,2008,broken_glass,moderate,5194.5
BMW,320i,2021,broken_glass,moderate,12994.5
Toyota,Camry,2005,broken_glass,minor,9092.0
Ford,Focus,2014,bumper,minor,9449.0
Honda,Accord,2009,scratch,moderate,14587.5
Ford,Fusion,2019,bumper,moderate,12424.5
Ford,Fusion,2016,scratch,minor,4491.0
BMW,X5,2010,scratch,moderate,13516.5
Ford,Focus,2016,bumper,minor,4381.0
Toyota,Camry,2019,bumper,minor,5129.0
Toyota,Corolla,2022,scratch,minor,3827.0
Ford,Focus,2008,scratch,minor,5679.0
Honda,Civic,2018,broken_glass,moderate,13782.0
Toyota,Corolla,2013,broken_glass,severe,12482.0
Honda,Civic,2006,bumper,severe,14776.0
Honda,Accord,2012,broken_glass,moderate,9298.5
BMW,X5,2010,bumper,moderate,12214.5
Toyota,Corolla,2014,bumper,minor,3851.0
Honda,Civic,2010,scratch,moderate,11626.5
Toyota,Camry,2013,broken_glass,moderate,12621.0
Toyota,Corolla,2005,scratch,minor,3377.0
Toyota,Corolla,2008,broken_glass,severe,7898.0
Toyota,Camry,2014,scratch,minor,3810.0
Toyota,Corolla,2020,dent,severe,7654.0
Toyota,Camry,2016,broken_glass,severe,7072.0
Toyota,Camry,2008,dent,moderate,13146.0
Toyota,Corolla,2020,scratch,minor,5334.0
Honda,Accord,2005,bumper,minor,8686.0
Ford,Fusion,2015,scratch,severe,8598.0
Toyota,Camry,2012,bumper,minor,7728.0
Honda,Civic,2017,scratch,minor,6231.0
Honda,Accord,2021,bumper,minor,5955.0
Ford,Fusion,2014,bumper,minor,9971.0
Honda,Accord,2013,bumper,severe,7204.0
BMW,X5,2005,dent,moderate,11751.0
BMW,320i,2008,broken_glass,minor,6271.0
Ford,Fusion,2007,scratch,severe,9522.0
Honda,Civic,2005,dent,minor,8475.0
Ford,Focus,2022,bumper,minor,5230.0
Toyota,Camry,2013,bumper,severe,14142.0
Toyota,Corolla,2008,dent,minor,6608.0
Honda,Civic,2011,bumper,minor,5803.0
BMW,X5,2014,bumper,minor,7767.0
Toyota,Camry,2016,dent,moderate,8470.5
Toyota,Camry,2010,bumper,moderate,13252.5
Toyota,Camry,2016,broken_glass,minor,9925.0
Toyota,Camry,2013,bumper,severe,10552.0
Ford,Fusion,2019,dent,moderate,9610.5
Ford,Fusion,2009,broken_glass,minor,5885.0
Honda,Accord,2009,broken_glass,severe,6084.0
Toyota,Corolla,2022,dent,severe,11120.0
Honda,Civic,2013,broken_glass,severe,12184.0
BMW,X5,2007,broken_glass,severe,19816.0
Ford,Focus,2020,broken_glass,severe,11502.0
BMW,320i,2008,bumper,moderate,8835.0
Ford,Fusion,2009,broken_glass,moderate,6442.5
BMW,X5,2005,dent,minor,6260.0
Honda,Accord,2007,bumper,moderate,11665.5
BMW,X5,2017,dent,moderate,12021.0
Toyota,Corolla,2013,bumper,severe,17420.0
Toyota,Camry,2014,broken_glass,severe,14236.0
Honda,Accord,2010,scratch,minor,4284.0
Toyota,Camry,2015,bumper,moderate,12001.5
Honda,Accord,2008,bumper,moderate,10339.5
Honda,Civic,2005,bumper,severe,8106.0
Toyota,Camry,2017,bumper,moderate,10476.0
Toyota,Corolla,2021,scratch,moderate,13326.0
Toyota,Camry,2008,dent,severe,18614.0
Toyota,Corolla,2010,broken_glass,moderate,5361.0
Honda,Accord,2007,bumper,moderate,9210.0
Ford,Fusion,2010,dent,minor,3116.0
Toyota,Camry,2018,bumper,minor,6356.0
BMW,X5,2011,broken_glass,moderate,8544.0
Honda,Accord,2015,scratch,minor,9846.0
Toyota,Corolla,2016,bumper,severe,14526.0
Ford,Focus,2014,scratch,minor,6275.0
Honda,Civic,2017,scratch,moderate,8748.0
Honda,Civic,2022,dent,minor,4379.0
BMW,320i,2016,scratch,minor,8779.0
Honda,Accord,2020,broken_glass,moderate,14592.0
Toyota,Corolla,2021,scratch,moderate,10783.5
Toyota,Camry,2014,dent,moderate,12138.0
Honda,Civic,2011,scratch,moderate,5356.5
Honda,Accord,2008,scratch,moderate,8005.5
Honda,Accord,2011,broken_glass,moderate,6115.5
Honda,Civic,2022,broken_glass,minor,3185.0
Honda,Civic,2022,bumper,severe,11716.0
Honda,Accord,2009,scratch,moderate,7515.0
Toyota,Camry,2012,bumper,severe,15384.0
BMW,320i,2006,bumper,severe,16440.0
Ford,Focus,2006,dent,severe,17150.0
Honda,Civic,2016,broken_glass,moderate,5563.5
BMW,320i,2016,broken_glass,moderate,14403.0
Toyota,Camry,2019,broken_glass,minor,9252.0
Honda,Civic,2020,dent,severe,13852.0
BMW,X5,2005,dent,minor,5296.0
Toyota,Camry,2011,bumper,minor,3348.0
BMW,320i,2016,dent,minor,9803.0
Toyota,Camry,2014,scratch,severe,16120.0
Ford,Focus,2019,bumper,minor,9434.0
Honda,Accord,2014,dent,severe,6054.0
Ford,Focus,2008,bumper,minor,9266.0
Honda,Accord,2009,broken_glass,minor,8087.0
BMW,320i,2017,bumper,moderate,6208.5
BMW,X5,2012,dent,minor,9755.0
Toyota,Corolla,2012,bumper,moderate,13422.0
Toyota,Corolla,2005,bumper,minor,8179.0
BMW,X5,2007,scratch,minor,4064.0
BMW,X5,2016,dent,moderate,9535.5
Ford,Focus,2020,broken_glass,minor,9797.0
Honda,Civic,2009,scratch,severe,16744.0
Toyota,Corolla,2011,scratch,moderate,14016.0
BMW,320i,2008,broken_glass,moderate,14073.0
Toyota,Camry,2014,bumper,moderate,12153.0
BMW,X5,2011,bumper,severe,17432.0
Ford,Fusion,2019,broken_glass,severe,19726.0
Toyota,Corolla,2012,broken_glass,minor,5050.0
Toyota,Camry,2016,broken_glass,minor,9574.0
Ford,Focus,2015,broken_glass,moderate,9162.0
Ford,Fusion,2022,dent,severe,15360.0
Ford,Fusion,2012,scratch,minor,7334.0
Ford,Focus,2019,broken_glass,severe,10560.0
Honda,Civic,2009,dent,minor,4964.0
Honda,Accord,2019,scratch,moderate,11244.0
BMW,X5,2013,broken_glass,severe,14714.0
Toyota,Corolla,2007,scratch,moderate,9798.0
BMW,X5,2006,dent,moderate,14095.5
Honda,Accord,2020,scratch,moderate,14496.0
BMW,320i,2020,broken_glass,minor,5564.0
Toyota,Camry,2009,broken_glass,severe,14662.0
Ford,Focus,2016,scratch,minor,3566.0
Honda,Civic,2007,dent,severe,8820.0
Ford,Fusion,2012,bumper,minor,9160.0
Honda,Accord,2021,bumper,moderate,14928.0
BMW,320i,2013,bumper,severe,8536.0
Ford,Fusion,2006,scratch,moderate,8832.0
Honda,Accord,2022,bumper,minor,8910.0
Toyota,Camry,2010,dent,minor,6587.0
Honda,Accord,2014,broken_glass,minor,3752.0
Toyota,Camry,2019,scratch,severe,12394.0
BMW,X5,2021,bumper,severe,14202.0
BMW,320i,2011,scratch,minor,4731.0
Honda,Accord,2016,broken_glass,moderate,7756.5
Honda,Civic,2005,broken_glass,moderate,9634.5
Toyota,Corolla,2018,bumper,minor,9698.0
Toyota,Corolla,2011,bumper,moderate,12591.0
Toyota,Corolla,2016,dent,moderate,5707.5
Toyota,Corolla,2006,scratch,moderate,5283.0
BMW,320i,2020,broken_glass,minor,9550.0
Toyota,Camry,2009,dent,minor,4736.0
Toyota,Camry,2005,dent,severe,8094.0
BMW,320i,2019,scratch,moderate,10087.5
Ford,Focus,2020,bumper,severe,7740.0
Honda,Accord,2020,broken_glass,severe,9192.0
BMW,320i,2019,broken_glass,severe,19950.0
Honda,Civic,2014,bumper,severe,19092.0
Toyota,Corolla,2020,broken_glass,moderate,4618.5
Ford,Focus,2012,dent,minor,7871.0
Toyota,Camry,2018,scratch,minor,6095.0
BMW,X5,2021,broken_glass,moderate,13258.5
Honda,Accord,2011,broken_glass,moderate,13593.0
Toyota,Camry,2006,broken_glass,moderate,9871.5
Toyota,Camry,2016,scratch,severe,18456.0
Toyota,Camry,2010,bumper,severe,16230.0
Ford,Fusion,2007,bumper,severe,10630.0
Toyota,Corolla,2015,broken_glass,minor,8818.0
Toyota,Camry,2018,scratch,severe,8976.0
Toyota,Corolla,2013,dent,severe,9880.0
Ford,Focus,2015,bumper,moderate,11517.0
Toyota,Camry,2018,scratch,severe,15374.0
BMW,X5,2022,broken_glass,minor,8458.0
Toyota,Corolla,2008,bumper,minor,3540.0
Honda,Civic,2011,broken_glass,minor,5191.0
Toyota,Camry,2006,bumper,severe,14892.0
Ford,Fusion,2022,bumper,moderate,6166.5
Honda,Civic,2005,bumper,minor,9119.0
Ford,Fusion,2018,bumper,severe,15320.0
BMW,X5,2006,scratch,severe,17040.0
BMW,320i,2005,broken_glass,severe,15006.0
Honda,Accord,2018,bumper,severe,18162.0
Honda,Accord,2019,scratch,severe,17412.0
Toyota,Corolla,2015,bumper,severe,11582.0
BMW,X5,2018,dent,minor,9091.0
Honda,Accord,2020,bumper,minor,5457.0
BMW,X5,2011,bumper,severe,7536.0
Honda,Civic,2006,dent,moderate,4665.0
Ford,Fusion,2012,scratch,severe,10976.0
BMW,X5,2022,bumper,moderate,4770.0
BMW,X5,2006,broken_glass,moderate,14350.5
Honda,Civic,2020,scratch,severe,17726.0
Honda,Accord,2017,dent,minor,4677.0
BMW,X5,2018,bumper,severe,9828.0
BMW,X5,2017,dent,minor,7903.0
BMW,X5,2016,bumper,severe,14712.0
Toyota,Corolla,2015,bumper,moderate,7879.5
Ford,Focus,2006,bumper,minor,3683.0
BMW,320i,2014,broken_glass,minor,6612.0
Toyota,Corolla,2013,scratch,moderate,9588.0
Honda,Civic,2019,broken_glass,minor,5655.0
Ford,Focus,2021,dent,severe,6558.0
Ford,Fusion,2016,scratch,moderate,11383.5
Honda,Civic,2008,dent,moderate,9070.5
Honda,Civic,2017,bumper,moderate,14659.5
Ford,Focus,2012,broken_glass,minor,4982.0
Toyota,Camry,2010,bumper,severe,9244.0
Honda,Accord,2015,scratch,severe,12686.0
Ford,Fusion,2019,dent,minor,5657.0
BMW,320i,2020,broken_glass,minor,5715.0
Honda,Civic,2014,bumper,severe,7168.0
BMW,X5,2021,bumper,severe,8650.0
Ford,Fusion,2016,dent,minor,6769.0
Ford,Fusion,2017,broken_glass,severe,19516.0
BMW,X5,2018,bumper,minor,7813.0
Toyota,Corolla,2008,bumper,moderate,8023.5
Ford,Focus,2012,scratch,moderate,4665.0
Ford,Focus,2017,dent,moderate,8863.5
Honda,Civic,2017,broken_glass,minor,4061.0
BMW,320i,2019,dent,minor,9650.0
BMW,X5,2014,dent,severe,19006.0
Toyota,Camry,2008,broken_glass,minor,5882.0
Honda,Accord,2018,scratch,minor,5737.0
Toyota,Corolla,2012,broken_glass,minor,5664.0
BMW,320i,2005,scratch,severe,14856.0
Toyota,Corolla,2019,broken_glass,moderate,10425.0
Toyota,Camry,2017,dent,severe,19932.0
Toyota,Corolla,2017,dent,moderate,4837.5
BMW,X5,2014,broken_glass,moderate,11218.5
Toyota,Corolla,2019,broken_glass,minor,5977.0
Toyota,Corolla,2014,dent,minor,5891.0
Ford,Fusion,2015,scratch,moderate,14470.5
Ford,Focus,2013,dent,minor,6576.0
Ford,Focus,2011,bumper,severe,8018.0
Honda,Civic,2015,dent,severe,15026.0
Toyota,Corolla,2022,broken_glass,severe,17050.0
Toyota,Camry,2014,broken_glass,moderate,12025.5
Ford,Fusion,2015,bumper,moderate,4837.5
Ford,Fusion,2018,dent,moderate,14740.5
Honda,Civic,2017,dent,severe,19782.0
Toyota,Camry,2020,bumper,severe,18200.0
BMW,320i,2017,broken_glass,moderate,4941.0
Honda,Accord,2018,broken_glass,severe,12920.0
Honda,Civic,2018,scratch,minor,5540.0
BMW,320i,2005,scratch,moderate,5574.0
Toyota,Camry,2016,bumper,moderate,5064.0
Toyota,Corolla,2020,dent,moderate,6940.5
Ford,Focus,2016,scratch,minor,9255.0
